"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENTREZID","GO","PATH","UNIPROT","ENZYME"
"ENSG00000211892.2",13753.2867650992,4.47923732558833,0.845264239449979,4.03395282980955e-08,7.71002163933344e-06,NA,NA,NA,NA,NA,NA
"ENSG00000239571.1",10.9928764451919,4.42140091805468,1.0845159536416,2.76817107788318e-06,0.000375162676628023,NA,NA,NA,NA,NA,NA
"ENSG00000253703.1",9.18874997623765,4.41301408215121,1.18196189488374,5.29782187903365e-06,0.00068086145321236,NA,NA,NA,NA,NA,NA
"ENSG00000211598.2",3285.17910389078,4.33066351734911,0.864553811897075,1.66100055220485e-07,2.91319955673763e-05,NA,NA,NA,NA,NA,NA
"ENSG00000211658.2",164.643081036076,4.32116365631143,1.84181915147112,3.87802292300537e-05,0.00394972084750231,NA,NA,NA,NA,NA,NA
"ENSG00000270999.1",17.5111215324733,4.30082683795863,1.01792304465713,2.04822363492123e-06,0.000288065263673639,NA,NA,NA,NA,NA,NA
"ENSG00000211962.2",827.046373060426,4.28195735828182,1.02453503964561,2.27834427583359e-06,0.000317435107141375,NA,NA,NA,NA,NA,NA
"ENSG00000253998.2",86.6157427267276,4.2560358358491,1.46924853963005,1.90151799178482e-05,0.00211550971802448,NA,NA,NA,NA,NA,NA
"ENSG00000211633.2",7.26129729172455,4.22247637879911,1.1190095175716,5.09919129489397e-06,0.000658170942201552,NA,NA,NA,NA,NA,NA
"ENSG00000233999.3",12.3186069376803,4.19023269282486,1.03544953651595,3.06394497701379e-06,0.000413369155812865,NA,NA,NA,NA,NA,NA
"ENSG00000128438.6",471.781687554312,4.16641648646711,1.00477754754182,2.49465833336924e-06,0.000344355244758043,NA,NA,NA,NA,NA,NA
"ENSG00000271375.1",5.60858248139019,4.15414628561384,1.13979830443752,6.40582503954866e-06,0.000799146775645117,NA,NA,NA,NA,NA,NA
"ENSG00000211677.2",1209.76662007014,4.13878395983888,0.626012383347864,1.69570369228533e-11,5.87896526618367e-09,NA,NA,NA,NA,NA,NA
"ENSG00000253202.1",6.75674670643602,4.13131797734509,1.45055097583003,2.07038810323729e-05,0.00227788530207096,NA,NA,NA,NA,NA,NA
"ENSG00000270467.1",5.29258991755692,4.11301317108583,1.21989325395688,9.88821904197699e-06,0.00116994896410947,NA,NA,NA,NA,NA,NA
"ENSG00000265714.1",12.3265820686376,4.11217346551115,2.26423423763184,8.08813521704489e-05,0.00730775271610334,NA,NA,NA,NA,NA,NA
"ENSG00000253120.1",3.97255525625201,4.11147514366618,1.27672997277355,1.23568625449999e-05,0.00142803183582061,NA,NA,NA,NA,NA,NA
"ENSG00000211659.2",815.831092341025,4.08853018306415,0.921708090019302,1.26130571788403e-06,0.000187099956638956,NA,NA,NA,NA,NA,NA
"ENSG00000232613.2",16.3413926968657,4.07461355132959,1.16156106136467,8.05878912472185e-06,0.000976751449360596,NA,NA,NA,NA,NA,NA
"ENSG00000026751.12",883.672494339605,4.04866863987708,0.521559363606556,3.87550914928291e-15,3.61100564984435e-12,"SLAMF7","57823","GO:0002250",NA,"Q9NQ25",NA
"ENSG00000211899.3",8162.73785911487,4.04133619763561,0.608383898682043,1.41450430438011e-11,5.10549763307401e-09,NA,NA,NA,NA,NA,NA
"ENSG00000204277.1",12.7572149391979,4.01204844559294,0.916815096975892,1.49069094623661e-06,0.000215759423558208,"LINC01993","100996291",NA,NA,NA,NA
"ENSG00000230481.2",5.37009287539106,3.91552582702829,1.90529399358888,6.18791209284319e-05,0.00587575754650359,NA,NA,NA,NA,NA,NA
"ENSG00000259680.4",4.05657555105943,3.81536869960587,1.53101874923107,3.47816868792415e-05,0.00357603715859125,NA,NA,NA,NA,NA,NA
"ENSG00000211918.1",4.33876196287263,3.80503493050988,1.2518741798769,1.64526674860242e-05,0.00185114239155962,NA,NA,NA,NA,NA,NA
"ENSG00000253497.1",99.6980110983613,3.76382293206407,1.49681668315967,3.39075356434033e-05,0.00352260307576207,NA,NA,NA,NA,NA,NA
"ENSG00000240505.4",219.960568671069,3.74264732859808,1.07056393834335,8.42548995138351e-06,0.00101296132415504,"TNFRSF13B","23495","GO:0002250","04060","O14836",NA
"ENSG00000255733.1",75.909591933884,3.73334059525209,0.720435967879176,8.88332152620816e-08,1.6658183309775e-05,"IFNG-AS1","100885789",NA,NA,NA,NA
"ENSG00000233732.5",4.15366352220864,3.70466594954427,1.80719170545478,6.45326698655788e-05,0.00606973528300346,NA,NA,NA,NA,NA,NA
"ENSG00000159958.3",182.77118078476,3.69170316889741,0.733339408906887,1.74003050632176e-07,3.0339619635374e-05,"TNFRSF13C","115650","GO:0001782","04060","Q5H8V1",NA
"ENSG00000254167.1",6.09885866531089,3.62957293523305,1.81384612663092,6.98277489905843e-05,0.00654712001227441,NA,NA,NA,NA,NA,NA
"ENSG00000169245.4",303.305332327175,3.56097674335123,0.623739367851086,5.70067060217798e-09,1.25956875960264e-06,"CXCL10","3627","GO:0005102","04060","A0A024RDA4",NA
"ENSG00000253701.1",87.1726820771739,3.5602723178621,0.916756350925929,4.4077164627546e-06,0.000578944819618903,NA,NA,NA,NA,NA,NA
"ENSG00000211656.2",3.61011285558927,3.542502247175,1.40684670472057,3.42388038698047e-05,0.00354466727841006,NA,NA,NA,NA,NA,NA
"ENSG00000261834.2",2.84988421671464,3.53132651679824,1.8052974813577,7.53677020600856e-05,0.00689313927798623,NA,NA,NA,NA,NA,NA
"ENSG00000122224.13",538.349509484541,3.52846177650983,0.567427759524522,2.6203640937471e-10,7.03862845217689e-08,"LY9","4063","GO:0003674",NA,"A0A0C4DFU4",NA
"ENSG00000211978.2",19.0799667570087,3.52531648612227,1.51664461582153,4.47987446418016e-05,0.00441658771046829,NA,NA,NA,NA,NA,NA
"ENSG00000167476.6",125.173286720834,3.51593764156612,0.644885035267308,2.39480050528674e-08,4.76022479104196e-06,"JSRP1","126306","GO:0003009",NA,"Q96MG2",NA
"ENSG00000211654.2",33.7327163850143,3.48026926882686,2.39353780074484,0.000157525595484517,0.0128303454599299,NA,NA,NA,NA,NA,NA
"ENSG00000035720.3",183.032001406157,3.45009693148389,0.951256915350085,6.85233659755405e-06,0.000851288616636131,"STAP1","26228","GO:0001784",NA,"A0A024RD91",NA
"ENSG00000116748.15",63.855231370894,3.44587004514378,0.766946456011701,1.15109384885521e-06,0.000172467408027472,"AMPD1","270","GO:0005829","00230","P23109","3.5.4.6"
"ENSG00000138755.5",1752.36997063028,3.42353885973137,0.515640162183225,1.69417492325135e-11,5.87896526618367e-09,"CXCL9","4283","GO:0005125","04060","Q07325",NA
"ENSG00000226025.5",86.8429825920688,3.42082030481991,0.845136643574806,3.22138231666973e-06,0.000430711816833295,"LGALS17A","400696",NA,NA,NA,NA
"ENSG00000211734.3",24.5956795058003,3.39822054325706,1.05747464143676,1.29090748385657e-05,0.00148037298225644,NA,NA,NA,NA,NA,NA
"ENSG00000230006.3",916.177382943086,3.3766484430412,0.609701561746795,1.54721953079481e-08,3.13822432178082e-06,"ANKRD36BP2","645784",NA,NA,NA,NA
"ENSG00000048462.6",119.545376423056,3.34327555565973,0.659114263591343,1.55510917260031e-07,2.77150403510231e-05,"TNFRSF17","608","GO:0002250","04060","Q02223",NA
"ENSG00000168081.4",73.1191746973907,3.28712976504581,0.686551402911817,4.69932821429945e-07,7.61495489334524e-05,"PNOC","5368","GO:0001515",NA,"Q13519",NA
"ENSG00000088340.11",1370.56792151944,3.26666254117019,0.482201761528195,6.94033690213035e-12,2.68744266329764e-09,"FER1L4","80307","GO:0016021",NA,NA,NA
"ENSG00000270505.1",62.3179735908107,3.25790227002989,0.699720243052309,7.21718242313875e-07,0.000112663618391783,NA,NA,NA,NA,NA,NA
"ENSG00000253240.1",2.37796754697889,3.22084174074472,1.70369915622922,8.52476324846565e-05,0.00763286309358114,NA,NA,NA,NA,NA,NA
"ENSG00000242580.1",50.5929407894657,3.21543891561129,1.77036625553399,9.55230668008613e-05,0.00844345382372887,NA,NA,NA,NA,NA,NA
"ENSG00000211911.1",10.1803286144857,3.1493128616186,1.73450912625534,9.59706253262979e-05,0.00844345382372887,NA,NA,NA,NA,NA,NA
"ENSG00000132704.11",681.217781756573,3.11332742391314,1.18779630283093,2.9412827068977e-05,0.00312089982878512,"FCRL2","79368","GO:0005070",NA,"B4DVJ9",NA
"ENSG00000211645.2",21.602949233579,3.07849335844916,0.994052896584074,1.49239726443244e-05,0.00169191318769269,NA,NA,NA,NA,NA,NA
"ENSG00000187323.7",9.54691810340025,3.0748339076348,0.823912859246577,5.59262032581229e-06,0.000712604989890681,"DCC","1630","GO:0001764","04360","P43146",NA
"ENSG00000251254.1",2.57158294691367,3.05208506412352,1.13678665196793,2.67305244026351e-05,0.00284641898424632,NA,NA,NA,NA,NA,NA
"ENSG00000237988.2",66.1459896204719,3.03510754040005,1.01485168600517,1.72912475159101e-05,0.00193311890900484,NA,NA,NA,NA,NA,NA
"ENSG00000156738.13",5249.00660756354,3.02567347328803,0.921833783769985,1.12982031571684e-05,0.0013210479424868,"MS4A1","931","GO:0002115","04640","A0A024R507",NA
"ENSG00000135925.4",103.148521666159,3.01633377489449,0.599758634501255,1.91456655699369e-07,3.31887886414673e-05,"WNT10A","80326","GO:0001942","04310","Q9GZT5",NA
"ENSG00000260655.1",359.300462167859,2.99716736914568,0.853208243568643,7.90901078744933e-06,0.000966055466337079,NA,NA,NA,NA,NA,NA
"ENSG00000050730.11",18.7278178717029,2.99133836332374,0.948653100930188,1.35945438757037e-05,0.0015470798480839,"TNIP3","79931","GO:0002756",NA,"Q96KP6",NA
